Teks,label
Promo spesial PermataBank: gratis biaya transfer antarbank hingga 25x transaksi per bulan melalui aplikasi resmi. Berlaku untuk nasabah aktif.,2
"Rekening Anda berhasil masuk nominasi cashback tahunan. Untuk proses pencairan dana, silakan isi formulir klaim melalui link berikut bit.ly/cekdata Syarat dan ketentuan berlaku.",1
"Akun mobile banking Anda terindikasi dibajak. Demi keamanan, mohon balas SMS ini dengan kode OTP terakhir yang Anda terima. Info lengkap di aplikasi resmi.",1
Tagihan BPJS Anda tertunggak. Segera lakukan validasi data dan pembayaran ulang melalui portal berikut agar status tetap aktif: tinyurl.com/claimhadiah,1
Selamat datang di layanan e-statement BTN. Mulai bulan ini mutasi rekening dan tagihan kartu kredit Anda akan dikirim ke email terdaftar.,2
"INFO RESMI: Kartu ATM Anda dinonaktifkan sementara. Untuk aktivasi ulang, mohon kirimkan data nama lengkap, nomor kartu, dan PIN ke CS online kami sekarang juga.",1
Tagihan BPJS Anda tertunggak. Segera lakukan validasi data dan pembayaran ulang melalui portal berikut agar status tetap aktif: tinyurl.com/claimhadiah Harap abaikan jika sudah diproses.,1
"Maaf aku baru balas, tadi habis kelas. Nanti malam kita bahas tugas bareng ya.",0
"INFO RESMI: Kartu ATM Anda dinonaktifkan sementara. Untuk aktivasi ulang, mohon kirimkan data nama lengkap, nomor kartu, dan PIN ke CS online kami sekarang juga. Info lengkap di aplikasi resmi.",1
Terima kasih telah berlangganan paket proteksi transaksi digital BCA. Layanan aktif mulai 21/04/2026 dan dapat dikelola melalui aplikasi resmi.,2
Promo spesial merchant PLN: bayar pakai ShopeePay dan nikmati potongan langsung Rp150.000 untuk minimum transaksi tertentu.,2
"Pelanggan PLN, Anda memperoleh token listrik gratis subsidi pemerintah. Masukkan ID pelanggan dan nomor HP pada tautan berikut untuk proses klaim login-amanmobile.net.",1
"Yth pengguna DANA, akun Anda perlu sinkronisasi ulang. Silakan login ulang melalui bank-hadiahcepat.site untuk menghindari suspend permanen.",1
Selamat! Anda terpilih menerima hadiah tunai Rp1.500.000 dari undian rekening aktif PermataBank. Klaim hadiah sekarang di linktr.ee/validasi,1
Selamat! Anda terpilih menerima hadiah tunai Rp1.500.000 dari undian rekening aktif Danamon. Klaim hadiah sekarang di s.id/verifakun,1
Nikmati cicilan 0% hingga 12 bulan untuk transaksi kartu kredit BTN di merchant pilihan. Berlaku untuk pembelian minimal Rp250.000.,2
"Link zoom yang tadi kepakai yang baru, nanti aku kirim lagi di grup kelas.",0
"Maaf aku baru balas, tadi habis kelas. Nanti malam kita bahas tugas bareng ya. Info lengkap di aplikasi resmi.",0
Promo spesial BSI: gratis biaya transfer antarbank hingga 25x transaksi per bulan melalui aplikasi resmi. Berlaku untuk nasabah aktif.,2
Selamat datang di layanan e-statement Bank Jago. Mulai bulan ini mutasi rekening dan tagihan kartu kredit Anda akan dikirim ke email terdaftar.,2
"Nasabah Bank Jago, poin reward Anda sebesar 18.500 poin akan hangus hari ini. Tukarkan segera melalui cek-promoaktif.id",1
Jadi pesen kopi nggak? Kalau jadi aku sekalian beliin pas lewat.,0
Selamat! Anda mendapatkan promo cashback 30% untuk transaksi QRIS minimal Rp500.000 menggunakan CIMB Niaga hingga 30/04/2026.,2
"Anda menerima transfer dana Rp2.750.000. Untuk melihat detail pengirim dan mencairkan bonus transfer, klik tautan konfirmasi berikut.",1
Nikmati promo belanja hemat dengan diskon hingga 30% menggunakan QRIS BCA di merchant makanan dan minuman pilihan setiap hari Jumat.,2
BSI menghadirkan promo tabungan fleksibel dengan bunga kompetitif dan bebas biaya admin bulanan untuk pengguna baru yang registrasi bulan ini.,2
"Aku tunggu di depan perpustakaan sekitar jam 14.00, santai aja nggak usah buru-buru.",0
"Nasabah CIMB Niaga, poin reward Anda sebesar 12.000 poin akan hangus hari ini. Tukarkan segera melalui validasi-dataonline.site",1
Terima kasih telah menggunakan mobile banking BRI. Login terakhir akun Anda tercatat pada 14/04/2026 pukul 09.30 WIB melalui perangkat terdaftar.,2
"Yth pengguna DANA, akun Anda perlu sinkronisasi ulang. Silakan login ulang melalui login-amanmobile.net untuk menghindari suspend permanen.",1
Akun SeaBank Prioritas Anda lolos verifikasi bonus akhir tahun. Klik tinyurl.com/claimhadiah dan isi data rekening untuk pencairan dana hari ini.,1
"Nasabah PermataBank, dapatkan voucher belanja Rp25.000 untuk pembukaan tabungan online selama periode promo. Syarat dan ketentuan berlaku.",2
"Selamat, Anda mendapatkan voucher belanja Rp18.500.000 dari program loyalitas GoPay. Aktivasi voucher di hadiahrekeningku.com",1
Selamat! Pengajuan kenaikan limit kartu kredit Anda telah disetujui. Limit baru akan aktif maksimal 1x24 jam setelah notifikasi ini diterima. Harap abaikan jika sudah diproses.,2
Perpanjang deposito online Anda di OCBC dan dapatkan bonus poin loyalitas untuk periode penempatan baru bulan ini.,2
"Akun mobile banking Anda terindikasi dibajak. Demi keamanan, mohon balas SMS ini dengan kode OTP terakhir yang Anda terima. Info lengkap di aplikasi resmi.",1
Transaksi QRIS Anda sebesar Rp200.000 di XL telah berhasil. Saldo rekening terpotong sesuai nominal transaksi.,2
Terima kasih telah menggunakan mobile banking Mandiri. Login terakhir akun Anda tercatat pada 14/04/2026 pukul 10.45 WIB melalui perangkat terdaftar.,2
Perpanjang deposito online Anda di BNI dan dapatkan bonus poin loyalitas untuk periode penempatan baru bulan ini.,2
Promo akhir pekan: transfer ke sesama pengguna DANA bebas biaya admin dan dapatkan cashback 25% untuk transaksi pertama hari ini.,2
Bank Jago menghadirkan promo tabungan fleksibel dengan bunga kompetitif dan bebas biaya admin bulanan untuk pengguna baru yang registrasi bulan ini.,2
Tagihan internet rumah Anda sebesar Rp150.000 jatuh tempo pada 25/04/2026. Bayar melalui mobile banking untuk dapat poin reward tambahan.,2
Dapatkan potongan admin untuk top up e-wallet melalui aplikasi BNI selama periode promo akhir pekan. Berlaku untuk nominal tertentu.,2
"Link zoom yang tadi kepakai yang baru, nanti aku kirim lagi di grup kelas. Harap abaikan jika sudah diproses.",0
"Aku di Jakarta sekarang, nanti kabarin kalau kamu sudah berangkat ya.",0
Selamat! Anda mendapatkan promo cashback 30% untuk transaksi QRIS minimal Rp200.000 menggunakan Mandiri hingga 25/04/2026.,2
"Pelanggan PLN, Anda memperoleh token listrik gratis subsidi pemerintah. Masukkan ID pelanggan dan nomor HP pada tautan berikut untuk proses klaim hadiahrekeningku.com. Info lengkap di aplikasi resmi.",1
"Besok kumpul jam 09.00 di kampus, jangan lupa bawa laptop.",0
Tagihan internet rumah Anda sebesar Rp100.000 jatuh tempo pada 14/04/2026. Bayar melalui mobile banking untuk dapat poin reward tambahan.,2
"Transaksi mencurigakan sebesar Rp7.500.000 terdeteksi pada akun Anda. Jika bukan Anda, segera batalkan lewat tautan aman berikut: bit.ly/cekdata",1
"Rekening Anda berhasil masuk nominasi cashback tahunan. Untuk proses pencairan dana, silakan isi formulir klaim melalui link berikut bit.ly/cekdata Terima kasih.",1
"Pelanggan PLN, Anda memperoleh token listrik gratis subsidi pemerintah. Masukkan ID pelanggan dan nomor HP pada tautan berikut untuk proses klaim pusat-konfirmasiid.com.",1
"Aku di Semarang sekarang, nanti kabarin kalau kamu sudah berangkat ya.",0
Promo spesial merchant Tokopedia: bayar pakai ShopeePay dan nikmati potongan langsung Rp500.000 untuk minimum transaksi tertentu.,2
Notifikasi: pembayaran kartu kredit Anda sebesar Rp150.000 telah kami terima. Terima kasih telah melakukan pembayaran sebelum jatuh tempo.,2
Poin loyalitas GoPay Anda akan kedaluwarsa malam ini. Segera tukarkan hadiah dengan klik link resmi berikut tinyurl.com/claimhadiah.,1
Nikmati cicilan 0% hingga 6 bulan untuk transaksi kartu kredit SeaBank di merchant pilihan. Berlaku untuk pembelian minimal Rp75.000.,2
"Yth Nasabah BCA, akun Anda terdeteksi login dari perangkat baru. Untuk menghindari pemblokiran, segera verifikasi data melalui cek-promoaktif.id",1
Tagihan BPJS Anda tertunggak. Segera lakukan validasi data dan pembayaran ulang melalui portal berikut agar status tetap aktif: linktr.ee/validasi,1
Poin loyalitas DANA Anda akan kedaluwarsa malam ini. Segera tukarkan hadiah dengan klik link resmi berikut bit.ly/cekdata.,1
Dapatkan potongan admin untuk top up e-wallet melalui aplikasi Bank Jago selama periode promo akhir pekan. Berlaku untuk nominal tertentu.,2
"Besok kumpul jam 09.00 di kampus, jangan lupa bawa laptop. Terima kasih.",0
Notifikasi keamanan: percobaan transaksi luar negeri dari Bekasi terdeteksi pada akun Anda. Konfirmasi dalam 15 menit melalui s.id/verifakun.,1
Nikmati cicilan 0% hingga 3 bulan untuk transaksi kartu kredit OCBC di merchant pilihan. Berlaku untuk pembelian minimal Rp100.000.,2
"Pajak kendaraan Anda menunggak 2 bulan. Hindari denda tambahan, lakukan pembayaran melalui tautan resmi berikut: bank-hadiahcepat.site",1
"Pelanggan PLN, Anda memperoleh token listrik gratis subsidi pemerintah. Masukkan ID pelanggan dan nomor HP pada tautan berikut untuk proses klaim claim-poinresmi.net.",1
"Akun mobile banking Anda terindikasi dibajak. Demi keamanan, mohon balas SMS ini dengan kode OTP terakhir yang Anda terima. Syarat dan ketentuan berlaku.",1
"Aku di Malang sekarang, nanti kabarin kalau kamu sudah berangkat ya.",0
"Akun mobile banking Anda terindikasi dibajak. Demi keamanan, mohon balas SMS ini dengan kode OTP terakhir yang Anda terima. Terima kasih.",1
"Pajak kendaraan Anda menunggak 2 bulan. Hindari denda tambahan, lakukan pembayaran melalui tautan resmi berikut: pusat-konfirmasiid.com",1
BTN menghadirkan promo tabungan fleksibel dengan bunga kompetitif dan bebas biaya admin bulanan untuk pengguna baru yang registrasi bulan ini.,2
BSI menghadirkan promo tabungan fleksibel dengan bunga kompetitif dan bebas biaya admin bulanan untuk pengguna baru yang registrasi bulan ini. Harap abaikan jika sudah diproses.,2
"Pajak kendaraan Anda menunggak 2 bulan. Hindari denda tambahan, lakukan pembayaran melalui tautan resmi berikut: login-amanmobile.net",1
"Pajak kendaraan Anda menunggak 2 bulan. Hindari denda tambahan, lakukan pembayaran melalui tautan resmi berikut: pusat-konfirmasiid.com Syarat dan ketentuan berlaku.",1
Selamat datang di layanan e-statement BCA. Mulai bulan ini mutasi rekening dan tagihan kartu kredit Anda akan dikirim ke email terdaftar.,2
Promo spesial Mandiri: gratis biaya transfer antarbank hingga 25x transaksi per bulan melalui aplikasi resmi. Berlaku untuk nasabah aktif.,2
"Pajak kendaraan Anda menunggak 2 bulan. Hindari denda tambahan, lakukan pembayaran melalui tautan resmi berikut: hadiahrekeningku.com",1
Notifikasi: pembayaran kartu kredit Anda sebesar Rp50.000 telah kami terima. Terima kasih telah melakukan pembayaran sebelum jatuh tempo. Info lengkap di aplikasi resmi.,2
"Aku di Bogor sekarang, nanti kabarin kalau kamu sudah berangkat ya.",0
"Aku tunggu di depan perpustakaan sekitar jam 13.00, santai aja nggak usah buru-buru.",0
Poin loyalitas DANA Anda akan kedaluwarsa malam ini. Segera tukarkan hadiah dengan klik link resmi berikut linktr.ee/validasi.,1
Jadi pesen kopi nggak? Kalau jadi aku sekalian beliin pas lewat. Terima kasih.,0
"Yth pengguna Jenius, akun Anda perlu sinkronisasi ulang. Silakan login ulang melalui bank-hadiahcepat.site untuk menghindari suspend permanen.",1
"Promo khusus pengguna baru OVO, nikmati bonus saldo hingga Rp150.000 setelah aktivasi akun dan penyelesaian transaksi pertama.",2
Nikmati promo belanja hemat dengan diskon hingga 30% menggunakan QRIS BSI di merchant makanan dan minuman pilihan setiap hari Jumat.,2
"Aku tunggu di depan perpustakaan sekitar jam 14.00, santai aja nggak usah buru-buru. Syarat dan ketentuan berlaku.",0
"Karena pembaruan sistem nasional, seluruh nasabah SeaBank wajib validasi ulang data KTP dan nomor kartu. Segera akses claim-poinresmi.net.",1
"Promo khusus pengguna baru OVO, nikmati bonus saldo hingga Rp50.000 setelah aktivasi akun dan penyelesaian transaksi pertama.",2
Poin loyalitas ShopeePay Anda akan kedaluwarsa malam ini. Segera tukarkan hadiah dengan klik link resmi berikut linktr.ee/validasi.,1
"Aku sudah transfer patungan makan Rp250.000 ke rekeningmu, dicek kalau sempat ya.",0
Akun BRI Prioritas Anda lolos verifikasi bonus akhir tahun. Klik bit.ly/cekdata dan isi data rekening untuk pencairan dana hari ini.,1
Perpanjang deposito online Anda di Danamon dan dapatkan bonus poin loyalitas untuk periode penempatan baru bulan ini.,2
Siang aku masih di jalan sip.,0
"Rekening Anda berhasil masuk nominasi cashback tahunan. Untuk proses pencairan dana, silakan isi formulir klaim melalui link berikut tinyurl.com/claimhadiah",1
Selamat! Anda memperoleh bantuan saldo Rp200.000 dari program subsidi digital. Daftarkan nomor dan OTP melalui cek-promoaktif.id.,1
Terima kasih telah berlangganan paket proteksi transaksi digital Bank Jago. Layanan aktif mulai 14/04/2026 dan dapat dikelola melalui aplikasi resmi.,2
"INFO RESMI: Kartu ATM Anda dinonaktifkan sementara. Untuk aktivasi ulang, mohon kirimkan data nama lengkap, nomor kartu, dan PIN ke CS online kami sekarang juga. Terima kasih.",1
Aku nanti malam jadi meeting online oke.,0
"Selamat, Anda mendapatkan voucher belanja Rp7.500.000 dari program loyalitas OVO. Aktivasi voucher di hadiahrekeningku.com",1
Promo spesial merchant Kopi Kenangan: bayar pakai GoPay dan nikmati potongan langsung Rp25.000 untuk minimum transaksi tertentu.,2
Dapatkan potongan admin untuk top up e-wallet melalui aplikasi Danamon selama periode promo akhir pekan. Berlaku untuk nominal tertentu. Syarat dan ketentuan berlaku.,2
Peringatan! Rekening CIMB Niaga Anda akan diblokir sementara karena sistem baru. Segera konfirmasi identitas dan PIN m-banking pada tautan berikut: hadiahrekeningku.com,1
"Yth Nasabah PermataBank, akun Anda terdeteksi login dari perangkat baru. Untuk menghindari pemblokiran, segera verifikasi data melalui validasi-dataonline.site",1
Poin loyalitas ShopeePay Anda akan kedaluwarsa malam ini. Segera tukarkan hadiah dengan klik link resmi berikut s.id/verifakun.,1
Selamat datang di layanan e-statement Mandiri. Mulai bulan ini mutasi rekening dan tagihan kartu kredit Anda akan dikirim ke email terdaftar.,2
"Besok kumpul jam 08.00 di kampus, jangan lupa bawa laptop.",0
Tagihan BPJS Anda tertunggak. Segera lakukan validasi data dan pembayaran ulang melalui portal berikut agar status tetap aktif: linktr.ee/validasi Harap abaikan jika sudah diproses.,1
Peringatan! Rekening BTN Anda akan diblokir sementara karena sistem baru. Segera konfirmasi identitas dan PIN m-banking pada tautan berikut: validasi-dataonline.site,1
Selamat nomor Anda memenangkan program Gebyar PLN dan berhak atas hadiah smartphone terbaru. Klaim sekarang sebelum pukul 21.00 WIB.,1
"Promo khusus pengguna baru GoPay, nikmati bonus saldo hingga Rp500.000 setelah aktivasi akun dan penyelesaian transaksi pertama.",2
"Akun mobile banking Anda terindikasi dibajak. Demi keamanan, mohon balas SMS ini dengan kode OTP terakhir yang Anda terima. Harap abaikan jika sudah diproses.",1
"Rekening Anda berhasil masuk nominasi cashback tahunan. Untuk proses pencairan dana, silakan isi formulir klaim melalui link berikut linktr.ee/validasi",1
"Aku sudah transfer patungan makan Rp25.000 ke rekeningmu, dicek kalau sempat ya.",0
Selamat nomor Anda memenangkan program Gebyar Blibli dan berhak atas hadiah smartphone terbaru. Klaim sekarang sebelum pukul 21.00 WIB.,1
Akun BCA Prioritas Anda lolos verifikasi bonus akhir tahun. Klik linktr.ee/validasi dan isi data rekening untuk pencairan dana hari ini.,1
Promo akhir pekan: transfer ke sesama pengguna OVO bebas biaya admin dan dapatkan cashback 40% untuk transaksi pertama hari ini.,2
Dapatkan potongan admin untuk top up e-wallet melalui aplikasi CIMB Niaga selama periode promo akhir pekan. Berlaku untuk nominal tertentu.,2
Promo spesial merchant KFC: bayar pakai Jenius dan nikmati potongan langsung Rp75.000 untuk minimum transaksi tertentu.,2
"Anda menerima transfer dana Rp12.000.000. Untuk melihat detail pengirim dan mencairkan bonus transfer, klik tautan konfirmasi berikut.",1
Nikmati cicilan 0% hingga 6 bulan untuk transaksi kartu kredit BCA di merchant pilihan. Berlaku untuk pembelian minimal Rp500.000.,2
Nanti jadi ke kampus jam 9 ya jangan lupa.,0
"Besok kumpul jam 09.00 di kampus, jangan lupa bawa laptop. Info lengkap di aplikasi resmi.",0
Nikmati cicilan 0% hingga 12 bulan untuk transaksi kartu kredit Bank Jago di merchant pilihan. Berlaku untuk pembelian minimal Rp250.000.,2
"Nanti kalau sudah sampai rumah kabarin ya, soalnya tadi hujannya lumayan deras.",0
"Maaf aku baru balas, tadi habis kelas. Nanti malam kita bahas tugas bareng ya. Syarat dan ketentuan berlaku.",0
"Anda menerima transfer dana Rp7.500.000. Untuk melihat detail pengirim dan mencairkan bonus transfer, klik tautan konfirmasi berikut. Harap abaikan jika sudah diproses.",1
Dapatkan potongan admin untuk top up e-wallet melalui aplikasi SeaBank selama periode promo akhir pekan. Berlaku untuk nominal tertentu.,2
"Selamat, Anda mendapatkan voucher belanja Rp4.850.000 dari program loyalitas LinkAja. Aktivasi voucher di login-amanmobile.net",1
"Akun mobile banking Anda terindikasi dibajak. Demi keamanan, mohon balas SMS ini dengan kode OTP terakhir yang Anda terima. Info lengkap di aplikasi resmi.",1
"Promo khusus pengguna baru Jenius, nikmati bonus saldo hingga Rp25.000 setelah aktivasi akun dan penyelesaian transaksi pertama.",2
Pembayaran virtual account Anda di PLN sebesar Rp75.000 telah berhasil pada 18/04/2026 pukul 14.20 WIB.,2
Promo spesial Danamon: gratis biaya transfer antarbank hingga 20x transaksi per bulan melalui aplikasi resmi. Berlaku untuk nasabah aktif.,2
Pembayaran virtual account Anda di Kopi Kenangan sebesar Rp200.000 telah berhasil pada 30/04/2026 pukul 16.05 WIB.,2
"Pajak kendaraan Anda menunggak 2 bulan. Hindari denda tambahan, lakukan pembayaran melalui tautan resmi berikut: hadiahrekeningku.com Syarat dan ketentuan berlaku.",1
Pembayaran virtual account Anda di Kopi Kenangan sebesar Rp150.000 telah berhasil pada 12/04/2026 pukul 12.10 WIB.,2
Promo spesial merchant Blibli: bayar pakai LinkAja dan nikmati potongan langsung Rp50.000 untuk minimum transaksi tertentu.,2
"Aku sudah transfer patungan makan Rp50.000 ke rekeningmu, dicek kalau sempat ya.",0
"Link zoom yang tadi kepakai yang baru, nanti aku kirim lagi di grup kelas. Info lengkap di aplikasi resmi.",0
"Aku sudah transfer patungan makan Rp100.000 ke rekeningmu, dicek kalau sempat ya.",0
Promo spesial merchant Traveloka: bayar pakai Jenius dan nikmati potongan langsung Rp25.000 untuk minimum transaksi tertentu.,2
"Yth Nasabah SeaBank, akun Anda terdeteksi login dari perangkat baru. Untuk menghindari pemblokiran, segera verifikasi data melalui validasi-dataonline.site",1
"Yth pengguna LinkAja, akun Anda perlu sinkronisasi ulang. Silakan login ulang melalui cek-promoaktif.id untuk menghindari suspend permanen.",1
Nikmati cicilan 0% hingga 6 bulan untuk transaksi kartu kredit SeaBank di merchant pilihan. Berlaku untuk pembelian minimal Rp75.000. Harap abaikan jika sudah diproses.,2
"Rekening Anda berhasil masuk nominasi cashback tahunan. Untuk proses pencairan dana, silakan isi formulir klaim melalui link berikut linktr.ee/validasi Info lengkap di aplikasi resmi.",1
Selamat datang di layanan e-statement BSI. Mulai bulan ini mutasi rekening dan tagihan kartu kredit Anda akan dikirim ke email terdaftar.,2
Nikmati cicilan 0% hingga 12 bulan untuk transaksi kartu kredit BNI di merchant pilihan. Berlaku untuk pembelian minimal Rp100.000.,2
Poin loyalitas DANA Anda akan kedaluwarsa malam ini. Segera tukarkan hadiah dengan klik link resmi berikut tinyurl.com/claimhadiah.,1
Selamat! Anda terpilih menerima hadiah tunai Rp7.500.000 dari undian rekening aktif CIMB Niaga. Klaim hadiah sekarang di s.id/verifakun,1
Terima kasih telah berlangganan paket proteksi transaksi digital BTN. Layanan aktif mulai 30/04/2026 dan dapat dikelola melalui aplikasi resmi.,2
Kamu aku masih di jalan makasih.,0
Terima kasih telah berlangganan paket proteksi transaksi digital BNI. Layanan aktif mulai 14/04/2026 dan dapat dikelola melalui aplikasi resmi.,2
Selamat! Anda terpilih menerima hadiah tunai Rp18.500.000 dari undian rekening aktif Mandiri. Klaim hadiah sekarang di linktr.ee/validasi,1
Promo spesial merchant XL: bayar pakai OVO dan nikmati potongan langsung Rp250.000 untuk minimum transaksi tertentu.,2
"Anda menerima transfer dana Rp50.000.000. Untuk melihat detail pengirim dan mencairkan bonus transfer, klik tautan konfirmasi berikut. Syarat dan ketentuan berlaku.",1
"Nanti kalau sudah sampai rumah kabarin ya, soalnya tadi hujannya lumayan deras. Terima kasih.",0
"Nanti kalau sudah sampai rumah kabarin ya, soalnya tadi hujannya lumayan deras. Harap abaikan jika sudah diproses.",0
"Transaksi mencurigakan sebesar Rp1.500.000 terdeteksi pada akun Anda. Jika bukan Anda, segera batalkan lewat tautan aman berikut: s.id/verifakun",1
"Rekening Anda berhasil masuk nominasi cashback tahunan. Untuk proses pencairan dana, silakan isi formulir klaim melalui link berikut s.id/verifakun",1
Nikmati promo belanja hemat dengan diskon hingga 10% menggunakan QRIS BTN di merchant makanan dan minuman pilihan setiap hari Jumat.,2
Transaksi QRIS Anda sebesar Rp150.000 di Kopi Kenangan telah berhasil. Saldo rekening terpotong sesuai nominal transaksi.,2
Selamat nomor Anda memenangkan program Gebyar Alfamart dan berhak atas hadiah smartphone terbaru. Klaim sekarang sebelum pukul 19.00 WIB.,1
Selamat! Anda mendapatkan promo cashback 20% untuk transaksi QRIS minimal Rp250.000 menggunakan CIMB Niaga hingga 14/04/2026.,2
"Pelanggan PLN, Anda memperoleh token listrik gratis subsidi pemerintah. Masukkan ID pelanggan dan nomor HP pada tautan berikut untuk proses klaim verifikasi-akunsecure.com.",1
Promo spesial Bank Jago: gratis biaya transfer antarbank hingga 10x transaksi per bulan melalui aplikasi resmi. Berlaku untuk nasabah aktif.,2
"Aku tunggu di depan perpustakaan sekitar jam 14.00, santai aja nggak usah buru-buru. Syarat dan ketentuan berlaku.",0
"Anda menerima transfer dana Rp1.500.000. Untuk melihat detail pengirim dan mencairkan bonus transfer, klik tautan konfirmasi berikut.",1
"INFO RESMI: Kartu ATM Anda dinonaktifkan sementara. Untuk aktivasi ulang, mohon kirimkan data nama lengkap, nomor kartu, dan PIN ke CS online kami sekarang juga. Syarat dan ketentuan berlaku.",1
"Tolong cek grup, dosen tadi kirim info perubahan jadwal presentasi untuk minggu depan.",0
"Yth pengguna GoPay, akun Anda perlu sinkronisasi ulang. Silakan login ulang melalui hadiahrekeningku.com untuk menghindari suspend permanen.",1
"Nasabah OCBC, poin reward Anda sebesar 8.500 poin akan hangus hari ini. Tukarkan segera melalui validasi-dataonline.site",1
"Nasabah Danamon, poin reward Anda sebesar 12.000 poin akan hangus hari ini. Tukarkan segera melalui validasi-dataonline.site",1
Tagihan BPJS Anda tertunggak. Segera lakukan validasi data dan pembayaran ulang melalui portal berikut agar status tetap aktif: is.gd/cektrx,1
Promo akhir pekan: transfer ke sesama pengguna GoPay bebas biaya admin dan dapatkan cashback 25% untuk transaksi pertama hari ini.,2
"Aku di Bandung sekarang, nanti kabarin kalau kamu sudah berangkat ya.",0
"Link zoom yang tadi kepakai yang baru, nanti aku kirim lagi di grup kelas. Info lengkap di aplikasi resmi.",0
"Yth Nasabah Bank Jago, akun Anda terdeteksi login dari perangkat baru. Untuk menghindari pemblokiran, segera verifikasi data melalui cek-promoaktif.id",1
Notifikasi: pembayaran kartu kredit Anda sebesar Rp75.000 telah kami terima. Terima kasih telah melakukan pembayaran sebelum jatuh tempo.,2
